CHESCO,X,Y,SLOPE,FOURLNE300,INTERST800,REGRAIL300,RAILSTN100,PARKS500M,WATER100,CITBORO_10,DIST_WATER,DIST_RAILS,DIST_REGRA,DIST_PASSR,DIST_4LNE_,DIST_INTER,DIST_PARKS,PAL_WETLND,FARM92,PASTURE92,FOREST92,URBAN01,URBAN92,POPDEN90,MEDINC90,MEDHSEVAL_,PCT_WHITE_,PCT_SFHOME,PCT_POV_90,PCT_HSB_19,PCT_COLGRD
1,1615501.477,214178.528,1.158,1,0,0,0,0,1,0,0.00,22051.42,20892.90,3201.61,1581.16,16807.99,2236.10,1,0,0,0,1,0,2,43396,142400,94,84,9,25,9
1,1616001.485,214178.528,0.707,1,0,0,0,0,1,0,0.00,21783.36,20718.67,2915.52,2061.58,16560.75,2692.62,1,0,1,0,1,0,2,43396,142400,100,84,1,25,1
1,1610001.393,213678.521,0.756,1,0,0,0,0,1,0,0.00,23505.68,23022.08,7159.02,0.00,14534.67,3535.59,1,0,0,0,0,1,17,27289,108800,98,73,2,45,2
1,1610501.400,213678.521,0.736,1,0,0,0,0,0,0,500.01,23308.08,22743.48,7280.22,0.00,14765.05,3041.43,1,0,0,0,1,0,25,35902,108800,98,60,2,40,2
1,1611001.408,213678.521,1.601,1,0,0,0,0,0,0,500.01,23119.61,22472.55,6800.84,0.00,15008.56,2549.55,0,0,0,0,1,1,25,35902,108800,98,60,2,40,2
1,1611501.416,213678.521,1.768,1,0,0,0,0,0,0,500.01,22940.49,22209.57,6324.65,0.00,15231.78,2061.58,0,0,0,0,0,1,1132,35902,108800,98,60,2,40,2
1,1612001.423,213678.521,1.900,1,0,0,0,0,0,0,500.01,22770.95,21954.84,5852.44,0.00,15435.59,1581.16,0,0,0,0,1,1,615,35902,108800,98,60,2,40,2
1,1612501.431,213678.521,2.025,1,0,0,0,0,1,0,0.00,22611.19,21708.63,5385.25,0.00,15652.72,1118.05,0,0,0,0,1,1,0,35902,108800,98,60,2,40,2
1,1613001.439,213678.521,1.879,1,0,0,0,0,1,0,0.00,22461.42,21471.24,4924.51,0.00,15882.62,707.12,1,0,0,0,1,1,0,27951,108800,98,56,2,75,2
1,1613501.446,213678.521,1.358,1,0,0,0,0,1,0,0.00,22321.86,21242.97,4472.21,500.01,16101.49,500.01,0,0,0,0,1,1,0,27951,108800,98,56,2,75,2
1,1616001.485,213678.521,0.127,1,0,0,0,0,1,0,0.00,21360.34,20248.77,2500.04,2000.03,16124.76,2549.55,0,0,0,0,0,0,2,43396,142400,100,84,1,25,1
1,1616501.493,213678.521,1.693,1,0,0,0,0,1,0,0.00,21095.35,20081.39,2236.10,2500.04,15882.62,3041.43,0,0,1,0,0,0,0,43396,128700,100,84,1,25,1
1,1609501.385,213178.513,0.637,1,0,0,0,0,1,0,0.00,23259.76,22825.78,6500.10,707.12,13865.64,4000.06,0,0,0,0,1,1,0,27289,149100,98,73,3,45,3
1,1610001.393,213178.513,1.648,1,0,0,0,0,0,0,500.01,23049.21,22589.06,6708.31,500.01,14089.22,3500.05,0,0,0,1,1,1,153,35902,149100,98,60,3,40,3
1,1610501.400,213178.513,2.326,1,0,0,0,0,0,0,707.12,22847.67,22327.46,6946.33,500.01,14326.77,3000.05,0,0,0,0,0,0,153,35902,149100,98,60,3,40,3
1,1611001.408,213178.513,2.777,1,0,0,0,0,0,0,1000.02,22655.37,22051.42,6670.94,500.01,14577.60,2500.04,0,0,0,0,0,1,68,35902,149100,98,60,3,40,3
1,1611501.416,213178.513,3.425,1,0,0,0,0,0,0,1000.02,22472.55,21783.36,6184.75,500.01,14773.51,2000.03,0,0,0,0,1,0,663,35902,108800,98,60,3,40,3
1,1612001.423,213178.513,3.575,1,0,0,0,0,0,0,707.12,22299.45,21523.57,5700.97,500.01,14983.55,1500.02,0,0,0,0,0,0,157,35902,108800,98,60,2,40,2
1,1612501.431,213178.513,3.126,1,0,0,0,0,0,0,500.01,22136.28,21272.38,5220.23,500.01,15207.14,1000.02,0,0,0,0,1,1,0,35902,108800,98,60,2,40,2
1,1613001.439,213178.513,2.652,1,0,0,0,0,0,0,500.01,21983.29,21030.06,4743.49,0.00,15435.59,500.01,0,0,0,0,0,0,245,35902,108800,98,60,2,40,2
1,1613501.446,213178.513,2.435,1,0,0,0,1,0,0,500.01,21840.67,20796.96,4272.07,0.00,15652.72,0.00,0,0,0,1,1,0,2687,35902,108800,98,60,2,40,2
1,1614001.454,213178.513,2.069,1,0,0,0,0,0,0,500.01,21708.63,20573.36,3807.95,0.00,15882.62,500.01,0,0,0,1,1,0,0,35902,142400,98,60,2,40,2
1,1614501.462,213178.513,1.154,1,0,0,0,0,1,0,0.00,21587.37,20359.59,3354.15,500.01,16124.76,1000.02,0,0,0,0,0,0,93,43396,142400,100,84,1,25,1
1,1616001.485,213178.513,1.221,1,0,0,0,0,0,0,500.01,20940.71,19780.34,2121.35,2000.03,15692.60,2500.04,0,0,1,0,0,0,93,43396,142400,100,84,1,25,1
1,1616501.493,213178.513,0.886,1,0,0,0,0,0,0,500.01,20670.34,19608.97,1802.80,2500.04,15443.68,3000.05,0,0,0,0,0,0,0,43396,142400,100,84,1,25,1
1,1617001.500,213178.513,1.078,0,0,0,0,0,1,0,0.00,20408.65,19448.95,1581.16,3000.05,15207.14,3500.05,0,0,0,0,1,0,0,39472,128700,100,84,1,30,1
