LOCNO,LTYPE,AVSTA,CPA,TAZ,ZIP,LONGI,LATI,People / Sq. Mile
21030,2,M,72,,19952,-75.63,40.329,91.74
16250,5,U,,,19543,0.00,0.000,167.27
16251,5,U,,,19543,0.00,0.000,167.27
16252,5,O,,,19543,0.00,0.000,167.27
16253,5,U,,,19543,0.00,0.000,167.27
25539,3,O,0,0,19543,0.00,0.000,167.27
13461,3,M,29,638,19362,-76.02,39.749,171.24
14274,2,M,29,636,19362,-75.98,39.786,171.24
17545,5,M,29,638,19362,-76.02,39.749,171.24
17724,5,M,29,638,19362,-76.05,39.751,171.24
17725,5,M,29,638,19362,-76.05,39.751,171.24
17726,5,M,29,638,19362,-76.05,39.751,171.24
18662,5,M,29,638,19362,-76.06,39.739,171.24
18663,5,M,29,638,19362,-76.03,39.752,171.24
29875,5,U,0,0,19362,0.00,0.000,171.24
9083903,1,M,29,638,19362,-76.04,39.754,171.24
9083907,1,M,29,638,19362,-76.05,39.751,171.24
9083924,1,M,29,637,19362,-75.98,39.722,171.24
9083925,1,M,29,638,19362,-76.02,39.733,171.24
9083930,1,M,29,638,19362,-76.06,39.725,171.24
9083936,1,M,29,638,19362,-76.07,39.727,171.24
9099623,1,M,29,638,19362,-76.07,39.726,171.24
9099638,1,M,29,638,19362,-76.05,39.756,171.24
2340,5,O,,,18343,0.00,0.000,172.95
17298,5,M,41,887,18077,-75.19,40.592,175.65
9857,5,O,,,16346,0.00,0.000,178.17
9858,5,O,,,16346,0.00,0.000,178.17
2824,3,O,,,17566,0.00,0.000,182.79
8104,5,O,,,17566,0.00,0.000,182.79
15511,5,O,,,19526,0.00,0.000,184.38
6925,3,O,,,19710,0.00,0.000,202.5
7448,2,O,,,17815,0.00,0.000,202.79
21096,3,M,86,,18220,-74.59,39.318,203.79
12054,5,M,43,1276,18923,-75.15,40.340,206.3
23862,2,M,0,,19009,-75.06,40.133,210.93
23863,2,M,0,,19009,-75.06,40.130,210.93
23864,2,M,0,,19009,-75.06,40.130,210.93
26925,5,M,30,,19009,-75.07,40.130,210.93
26929,5,M,0,,19009,-75.05,40.136,210.93
26931,5,M,0,,19009,-75.06,40.134,210.93
26932,5,M,0,,19009,-75.06,40.132,210.93
26961,5,M,0,,19009,-75.06,40.128,210.93
13084,2,M,28,633,19310,-75.95,39.927,212.55
13085,2,M,28,633,19310,-75.95,39.927,212.55
9045398,1,M,28,632,19310,-75.98,39.946,212.55
4017,5,O,,,19709,0.00,0.000,249.14
9755,5,M,76,42,18070,-75.52,39.636,249.15
15299,3,M,36,778,18070,-75.46,40.242,249.15
1964,5,M,38,795,18054,-75.47,40.339,249.32
2013,5,M,38,792,18054,-75.38,40.350,249.32
3312,2,M,38,794,18054,-75.47,40.339,249.32
12528,5,M,38,794,18054,-75.45,40.328,249.32
12530,5,M,38,794,18054,-75.45,40.328,249.32
14605,2,M,38,795,18054,-75.47,40.339,249.32
14606,2,M,38,795,18054,-75.47,40.339,249.32
