SAMPN,LISTD,HADDR,ADVLT,TOTVEH,DWELL,YRMOV,RENT,DIARY,ENGL,HHSIZE,NPHON,NFAX,NOPHO,PHSER,SHPHN,SHNUM,ETHNC,INCLV,INCOM,INCOME,ASSN,DPHON,NVIST,NPLAC,NTRIPS,NOWRK,NOSTU,OWNSH,EACCT,CPA,DAYOFWK,HBW,HBO,NHB,MOTTRIP
1041393,1,9041393,2,1,1,2,2,1,2,3,1,,2,,2,,1,1,2,10000,351,2,0,5,2,1,1,2,2,2,4,2,0,0,0
1050238,1,9050238,2,0,1,2,1,1,2,3,1,,2,,2,,5,1,2,10000,350,2,0,3,0,1,2,2,2,63,3,0,0,0,0
1076385,2,9076385,3,0,1,2,2,1,2,3,1,,2,,2,,2,1,2,10000,355,2,0,10,7,0,1,2,2,7,1,0,6,1,0
1079974,1,9079974,2,0,3,2,1,1,2,1,1,,2,,2,,1,1,2,10000,373,2,0,7,6,0,0,2,2,2,5,0,2,4,3
1080347,1,9080347,3,0,1,1,1,1,2,3,1,,2,,2,,1,1,2,10000,359,2,0,10,7,1,3,2,2,3,5,1,5,1,7
1080666,1,9080666,2,0,3,1,1,1,2,2,1,,2,,2,,1,1,2,10000,439,2,0,8,6,1,1,2,2,5,1,0,4,2,2
1081876,1,9081876,3,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,399,2,0,1,0,0,0,2,2,13,3,0,0,0,0
1083745,1,9083745,8,2,1,3,2,1,2,3,2,1,2,,2,,2,1,2,10000,399,2,0,15,12,1,1,2,2,25,3,2,10,0,12
1087779,1,9087779,2,1,1,3,2,1,2,7,1,,1,1,2,,1,1,2,10000,398,2,0,19,12,0,2,2,2,63,2,0,12,0,11
1094206,1,9094206,3,0,3,2,2,1,2,1,1,,2,,2,,1,1,2,10000,420,2,0,5,4,0,0,2,2,63,3,0,4,0,0
1100811,1,9100811,3,0,3,1,1,1,2,2,1,,2,,2,,1,1,2,10000,439,2,0,2,0,0,0,2,2,52,1,0,0,0,0
1101910,1,9101910,3,0,2,3,1,1,2,1,1,,1,4,2,,2,1,2,10000,443,2,0,1,0,0,0,2,2,7,5,0,0,0,0
1105154,1,9105154,3,2,2,3,2,1,2,7,1,,2,,2,,5,1,2,10000,443,2,0,33,26,0,4,2,2,6,5,0,16,10,24
1105204,1,9105204,3,1,2,2,2,1,2,2,1,,2,,2,,5,1,2,10000,443,2,0,2,0,0,0,2,2,6,5,0,0,0,0
1105279,1,9105279,3,0,1,3,2,1,2,1,1,,1,1,2,,1,1,2,10000,442,2,0,1,0,0,0,2,2,6,4,0,0,0,0
1013119,1,9013119,1,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,434,2,0,1,0,0,0,2,2,58,3,0,0,0,0
1022394,1,9022394,3,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,419,2,0,1,0,0,0,2,2,68,2,0,0,0,0
1030697,1,9030697,2,1,3,2,1,1,2,2,1,,2,,2,,1,1,2,10000,387,2,0,2,0,0,0,2,2,52,5,0,0,0,0
1036479,1,9036479,3,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,350,2,0,1,0,0,0,2,2,58,3,0,0,0,0
1075541,1,9075541,2,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,394,2,0,3,2,0,0,1,2,51,5,0,2,0,2
1075559,1,9075559,2,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,422,2,0,1,0,0,0,2,2,51,5,0,0,0,0
1075567,1,9075567,3,1,3,2,1,1,2,4,2,0,2,,2,,2,1,2,10000,404,2,0,22,18,2,2,2,2,51,1,4,14,0,18
1076519,2,9076519,3,1,2,3,2,1,1,2,1,,2,,2,,5,1,2,10000,378,2,0,2,0,1,0,2,2,11,3,0,0,0,0
1077025,2,9077025,3,1,1,1,2,1,2,1,1,,1,1,2,,2,1,2,10000,363,2,0,1,0,0,0,2,2,18,2,0,0,0,0
1077312,2,9077312,3,1,5,3,2,1,2,1,1,,2,,2,,1,1,2,10000,370,2,0,1,0,0,0,2,2,27,2,0,0,0,0
1079916,1,9079916,1,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,385,2,0,9,8,1,0,2,2,1,3,0,2,6,2
1080018,1,9080018,1,0,3,2,1,1,2,1,1,,2,,2,,1,1,2,10000,421,2,0,1,0,0,0,2,2,2,4,0,0,0,0
1080125,1,9080125,2,0,1,3,1,1,2,1,1,,2,,2,,1,1,2,10000,373,2,0,1,0,0,0,2,2,2,5,0,0,0,0
1080238,1,9080238,2,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,405,2,0,1,0,0,0,2,2,2,2,0,0,0,0
1080367,1,9080367,1,0,2,3,2,1,2,2,2,1,2,,2,,1,1,2,10000,373,2,0,6,4,1,1,2,2,3,5,2,2,0,4
1080370,1,9080370,1,1,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,386,2,0,3,2,0,0,2,2,3,4,0,2,0,2
1080534,1,9080534,1,0,1,3,2,1,2,2,1,,2,,2,,1,1,2,10000,385,2,0,2,0,0,0,2,2,4,3,0,0,0,0
1080646,1,9080646,2,0,3,2,1,1,2,1,1,,2,,2,,1,1,2,10000,384,2,0,4,3,0,0,2,2,5,2,0,2,1,3
1080805,1,9080805,1,0,3,3,1,1,2,1,1,,2,,2,,1,1,2,10000,426,2,0,1,0,0,0,2,2,5,2,0,0,0,0
