SAMPN,PERNO,GEND,AGE,LIC,RESP,RELAT,DISAB,DISTY1,DISTY2,DABLO,EDUC,LEVEL,S_LOC,SHOME,SDAY,SMODE1,SMODE2,SMODE3,SMOO,SCOST,SUNIT,EMPL,NOJOB,NMJOB,ETYPE,ETYPO,W1IND,W1INO,W1OCC,W1OCO,W1TIM,W1DAY,W1HOM,W1HMO,W1CPR,W1CPT,W1CPO,W1WKE,W1WKD1,W1WKD2,W1WKD3,W1WKD4,O_W1WKD,W1TYP,W1LOC,W1MOD1,W1MOD2,W1MOD3,W1MOO,W1NDV,W1CPK,W1CPU,W1EPK,W1PKL,W1PKLO,W1WLK,TRNST,VTRAN,TRNCT,TRNCU,SCHED,WSTIM,WETIM,SETIM,VSTIM,VSTMO,VETIM,VETMO,W2TY,W2TYO,W2TYP,W2LOC,W2IND,W2INO,W2OCC,W2OCO,W2DAY,W2HOM,W2HOO,W2ST,W2ET,HMALL,PNMPL,NTRIPS,DIARY,PROXY,HBW,HBO,NHB,MOTTRIP,NOMOTTRP,CPA,FIPS,REGION,DVRPC
1000018,1,1,60,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,54,,3,,2,5,0,,2,,,0,,,,,,2,26,21,,,,1,0.25,1,2,3,,98,8,,4.50,1,2,730,1900,1,,,,,,,,,,,,,,,,,,2,9,8,1,0,1,1,6,8,0,58,34005,2,1
1000018,2,2,54,1,2,2,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,58,34005,2,1
1000024,1,1,50,1,1,1,2,,,,2,,,,,,,,,,,1,,2,3,,23,,8,,1,4,0,,1,7,VARIES,1,1,,,,,2,172,21,,,,1,0.00,,2,3,,1,2,,,,1,900,1600,1,,,,,,,,,,,,,,,,,,2,3,2,1,98,0,2,0,2,0,58,34005,2,1
1000024,2,2,45,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,31,,1,,3,5,0,,2,,,0,,,,,,2,173,21,,,,2,0.00,,1,1,,1,2,,,,2,700,1600,1,,,,,,,,,,,,,,,,,,2,3,2,1,98,2,0,0,2,0,58,34005,2,1
1000054,1,2,60,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,61,,8,,3,5,0,,2,,,0,,,,,,2,60,21,,,,2,0.00,,2,3,,1,2,,,,2,830,1515,1,,,,,,,,,,,,,,,,,,2,4,3,1,0,1,1,1,3,0,58,34005,2,1
1000054,2,1,64,1,2,2,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,6,1,1,0,2,4,6,0,58,34005,2,1
1000175,1,2,65,1,1,1,2,,,,2,,,,,,,,,,,2,,2,1,,81,,2,,3,3,0,,,,,0,,,,,,2,165,21,,,,2,0.00,,2,1,,1,2,,,,2,900,1700,1,,,,,,,,,,,,,,,,,,2,4,3,1,0,0,2,1,3,0,58,34005,2,1
1000175,2,1,37,1,2,3,2,,,,2,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,1,0,2,1,3,0,58,34005,2,1
1000212,1,2,70,1,1,1,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,1,0,0,2,1,3,0,58,34005,2,1
1000212,2,2,45,1,2,3,2,,,,2,,,,,,,,,,,1,,2,1,,97,BUSINESS,2,,2,5,0,,2,,,0,,,,,,2,167,21,,,,1,90.00,4,2,1,,98,2,,265.00,3,2,800,1800,1,,,,,,,,,,,,,,,,,,2,6,5,1,0,2,2,1,5,0,58,34005,2,1
