SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1000018,1,1987,37,,COROLLA,1,,1,,2,1
1000018,2,1996,37,,TACOMA,7,,1,,2,1
1000024,1,1994,9,,F 150,7,,1,,2,1
1000024,2,1999,7,,SEBRING,2,,1,,2,1
1000054,1,1994,9,,PROBE,2,,1,,2,1
1000054,2,1988,7,,LEBARON,2,,1,,2,1
1000175,1,1993,4,,SKYLARK,2,,1,,2,1
1000175,2,1995,8,,NEON,2,,1,,2,1
1000212,1,1998,4,,REGAL,1,,1,,2,1
1000212,2,1995,34,,SATURN,1,,1,,2,1
1000239,1,1998,27,,CENTRA,1,,1,,2,1
1000244,1,1999,7,,CONCORD LXI,1,,1,,2,1
1000244,2,1996,8,,GRAND CARAVAN,3,,1,,2,1
1000253,1,1997,7,,CONCORD,1,,1,,2,1
1000253,2,1995,8,,NEON,1,,1,,2,1
1000261,1,1992,24,,SABLE,6,,1,,2,1
1000271,1,1993,35,,LEGACY,6,,1,,2,1
1000271,2,1994,28,,88 ROYALE,1,,1,,2,1
1000308,1,1999,6,,MALIBU,1,,1,,2,1
1000317,1,1977,5,,SEVILLE,1,,1,,2,1
1000317,2,1999,6,,CONVERSION VAN,3,,1,,2,1
1000317,3,1985,5,,SEVILLE,1,,1,,2,1
1000341,1,1993,9,,AEROSTAR,3,,1,,2,1
1000341,2,2000,28,,SILHOUETTE,3,,1,,2,1
1000461,1,1999,6,,MALIBU,1,,1,,2,1
1000461,2,1995,6,,CHEYENNE,7,,1,,2,1
1000461,3,1997,6,,CAVALIER,1,,1,,2,1
1000465,1,1997,9,,ESCORT,1,,1,,2,1
1000465,2,1999,38,,PASSAT,1,,1,,2,1
1000468,1,1997,27,,MAXIMA,1,,1,,2,1
1000468,2,1994,11,,SEDAN DEVILLE,1,,1,,2,1
1000468,3,1999,6,,TRAIL BLAZER,4,,1,,2,1
1000468,4,1993,24,,GRAND MARQUIS,1,,1,,2,1
1000643,1,1991,7,,LEBARON,2,,1,,2,1
1000711,1,1996,23,,626,1,,1,,2,1
